City,Median Housing Price YTD,State
ALBERTVILLE,123350.0,AL
PARKERSBURG,125483.33333333333,WV
NEW PHILADELPHIA,132316.66666666666,OH
CHEYENNE,258366.66666666666,WY
NEW CASTLE,74733.33333333333,PA
BRAINERD,170750.0,MN
SEVIERVILLE,210183.33333333334,TN
AMES,197166.66666666666,IA
BOZEMAN,392083.3333333333,MT
MOSES LAKE,,WA
INDIANA,102183.33333333333,PA
ELMIRA,97166.66666666667,NY
MEADVILLE,90516.66666666667,PA
BEAVER DAM,149733.33333333334,WI
PINEHURST,199100.0,NC
UKIAH,375133.3333333333,CA
HERMISTON,188666.66666666666,OR
ZANESVILLE,123250.0,OH
CORVALLIS,369316.6666666667,OR
BLOOMSBURG,136516.66666666666,PA
RUSSELLVILLE,117416.66666666667,AR
MIDLAND,137200.0,MI
POCATELLO,174683.33333333334,ID
GRANTS PASS,283150.0,OR
PLATTSBURGH,126066.66666666667,NY
GRAND ISLAND,154783.33333333334,NE
DUBOIS,77433.33333333333,PA
DANVILLE,62033.333333333336,IL
GREAT FALLS,196816.66666666666,MT
CULLMAN,137916.66666666666,AL
AUBURN,115066.66666666667,NY
OAK HARBOR,371433.3333333333,WA
HINESVILLE,131566.66666666666,GA
STILLWATER,161550.0,OK
KEENE,196633.33333333334,NH
SANDUSKY,140550.0,OH
SEARCY,115316.66666666667,AR
CENTRALIA,235983.33333333334,WA
FINDLAY,157533.33333333334,OH
PALATKA,115983.33333333333,FL
SENECA,166366.66666666666,SC
MOUNT AIRY,126300.0,NC
GLENWOOD SPRINGS,417033.3333333333,CO
ABERDEEN,191933.33333333334,WA
PORT ANGELES,292300.0,WA
GREENFIELD TOWN,209516.66666666666,MA
OWOSSO,,MI
MOUNT PLEASANT,131416.66666666666,MI
MINOT,186216.66666666666,ND
SHAWNEE,123516.66666666667,OK
GREENEVILLE,124750.0,TN
MARTINSVILLE,72533.33333333333,VA
FOREST CITY,134116.66666666666,NC
LAKE CITY,138250.0,FL
LAGRANGE,136050.0,GA
KLAMATH FALLS,,OR
MARINETTE,93183.33333333333,WI
FARMINGTON,132966.66666666666,MO
CHARLESTON,85983.33333333333,IL
CLEARLAKE,,CA
HUTCHINSON,,KS
IONIA,135700.0,MI
RED BLUFF,,CA
HUDSON,218733.33333333334,NY
COOS BAY,205433.33333333334,OR
WALLA WALLA,255283.33333333334,WA
SAYRE,115483.33333333333,PA
ONEONTA,131466.66666666666,NY
FORT MADISON,81116.66666666667,IA
BARABOO,178066.66666666666,WI
SALINA,126766.66666666667,KS
STURGIS,119366.66666666667,MI
FREMONT,110783.33333333333,OH
LEWISTON,199216.66666666666,ID
SHELTON,250733.33333333334,WA
